sid,group,nam,progressive,dwipc,dwfpc,ipc,fpc,sc_flat,sc_lep
203,1,1,False,0.7555555555555555,0.5111111111111111,0.7111111111111112,0.48888888888888893,0.553584126984127,0.6075674739853845
204,1,2,False,0.5999999999999999,0.711111111111111,0.6,0.7777777777777777,0.4802571428571429,0.32796624937818636
205,1,3,False,0.5111111111111111,0.911111111111111,0.5333333333333333,0.911111111111111,0.28877777777777774,0.2920162835249043
206,1,2,False,0.7222222222222222,0.711111111111111,0.6666666666666666,0.7333333333333333,0.18784285714285714,0.10995919630927942
207,1,3,False,0.7444444444444444,0.8555555555555555,0.7333333333333333,0.8666666666666667,0.22966666666666663,0.27494759564662125
208,1,2,False,0.5444444444444445,0.6777777777777778,0.6222222222222222,0.7111111111111111,0.5279494949494951,0.537107725137386
209,1,3,False,0.6222222222222222,0.7999999999999999,0.6666666666666666,0.8222222222222223,0.3598545454545455,0.402476224793993
210,1,1,False,0.8222222222222222,0.5888888888888888,0.8222222222222223,0.6666666666666666,0.6266285714285715,0.6251290877796901
211,1,1,False,0.45555555555555555,0.6333333333333333,0.4444444444444445,0.6222222222222222,0.33609523809523817,0.2751721170395871
212,1,1,True,0.6444444444444444,0.6333333333333333,0.6444444444444444,0.6666666666666666,0.5536984126984128,0.5630762549668185
213,1,3,True,0.6333333333333333,0.7222222222222221,0.6444444444444444,0.7333333333333333,0.4613222222222222,0.35880162259238346
214,1,3,True,0.7777777777777777,0.8,0.7999999999999999,0.8666666666666667,0.5500666666666667,0.542021625163827
215,1,0,True,0.4111111111111111,0.45555555555555555,0.4444444444444444,0.48888888888888893,0.5101746031746033,0.5122234971632563
216,1,3,False,0.7,0.8444444444444443,0.7333333333333333,0.8666666666666667,0.41207070707070714,0.39783516466167795
217,1,3,False,0.6222222222222222,0.8333333333333333,0.6444444444444444,0.8666666666666666,0.5343,0.3714275615133154
218,1,3,False,0.47777777777777775,0.8888888888888888,0.5333333333333333,0.8888888888888888,0.5505743145743145,0.334462943387362
219,1,2,True,0.7,0.7888888888888888,0.7555555555555555,0.8444444444444444,0.5235301587301587,0.40600300329358785
220,1,2,True,0.6444444444444444,0.611111111111111,0.6888888888888888,0.7111111111111111,0.38743636363636363,0.28557889453541624
221,1,0,True,0.47777777777777775,0.47777777777777775,0.5333333333333333,0.5333333333333333,0.4746857142857144,0.47578886976477386
223,1,3,True,0.6555555555555554,0.9,0.6666666666666666,0.9333333333333332,0.4648571428571429,0.323920831490491
224,1,1,True,0.5333333333333332,0.4888888888888889,0.6,0.5777777777777778,0.19356363636363635,0.1943410003650972
225,1,2,False,0.4777777777777778,0.8111111111111111,0.48888888888888893,0.8222222222222223,0.5146112554112553,0.48951311799289376
226,1,1,False,0.6444444444444444,0.7222222222222221,0.6666666666666666,0.7333333333333334,0.5484952380952381,0.3262474562474563
227,1,1,False,0.4666666666666667,0.4666666666666666,0.5111111111111111,0.48888888888888893,0.5481809523809523,0.5525906256930926
228,1,3,False,0.5666666666666667,0.9888888888888888,0.5777777777777778,0.9777777777777777,0.5512671328671329,0.4674524829688682
229,1,3,True,0.5555555555555556,0.7444444444444445,0.6222222222222222,0.8222222222222221,0.43422222222222223,0.4130715980147799
230,1,0,True,0.3888888888888889,0.3888888888888889,0.37777777777777777,0.37777777777777777,0.4405,0.4422690763052209
231,1,1,True,0.5333333333333333,0.5777777777777777,0.5333333333333333,0.6666666666666666,0.2111151515151515,0.28330625236238266
232,1,2,False,0.6444444444444444,0.6333333333333333,0.6222222222222222,0.6888888888888888,0.30282929292929295,0.28922427583454924
233,1,2,False,0.26666666666666666,0.7999999999999999,0.37777777777777777,0.7777777777777777,0.383,0.3642724619553887
234,1,2,False,0.6,0.6777777777777778,0.6,0.7333333333333333,0.37685844155844156,0.31461712422797333
235,1,2,False,0.6222222222222222,0.7555555555555555,0.6,0.6444444444444445,0.44771558441558446,0.3520800362295209
236,1,1,True,0.6777777777777778,0.5777777777777777,0.688888888888889,0.6444444444444445,0.61,0.6117804551539487
237,1,1,True,0.7333333333333334,0.7888888888888889,0.6666666666666666,0.7777777777777777,0.5072565656565657,0.5518359692126511
238,1,2,False,0.6444444444444444,0.9222222222222222,0.6666666666666666,0.9111111111111111,0.5438714063714065,0.4721915449049594
239,1,2,False,0.5333333333333332,0.6666666666666666,0.5333333333333333,0.7111111111111111,0.47745252525252535,0.44672772976037595
240,1,3,True,0.36666666666666664,0.8555555555555554,0.4222222222222222,0.8888888888888888,0.4320151515151516,0.368906685352538
241,1,3,False,0.5555555555555556,0.8333333333333333,0.6,0.8444444444444444,0.4897881673881674,0.29933466874256365
242,1,3,False,0.7222222222222221,0.8222222222222222,0.7555555555555555,0.8666666666666666,0.49166666666666664,0.4271894662519662
243,1,3,False,0.7666666666666666,0.9444444444444444,0.8222222222222223,0.9333333333333332,0.5105454545454545,0.3605599522286978
244,1,2,True,0.7222222222222221,0.8888888888888888,0.7777777777777778,0.9111111111111111,0.5576216450216451,0.4985926834398622
245,1,2,False,0.7777777777777777,0.7999999999999998,0.7777777777777777,0.8444444444444444,0.6276666666666667,0.6141088783819277
246,1,2,False,0.6666666666666665,0.8666666666666667,0.6444444444444444,0.8444444444444444,0.27965555555555555,0.28267808516949405
247,1,2,True,0.42222222222222217,0.8111111111111111,0.5333333333333333,0.8222222222222223,0.5248727272727274,0.5772088267870832
248,1,3,True,0.7999999999999998,0.8111111111111111,0.8444444444444444,0.8444444444444444,0.5489997113997115,0.6702654925112552
249,1,1,False,0.5,0.6888888888888889,0.5111111111111111,0.6666666666666666,0.5706095238095239,0.4975573192239856
250,1,3,False,0.7,0.8555555555555555,0.6444444444444445,0.8666666666666666,0.31370764790764794,0.34611534264338095
251,1,3,False,0.8333333333333334,0.9444444444444444,0.8222222222222223,0.9333333333333332,0.3807434343434344,0.35134688428609023
252,1,3,False,0.8777777777777778,0.9222222222222222,0.8444444444444444,0.9333333333333332,0.28467460317460314,0.27649927341828767
253,1,2,False,0.5888888888888888,0.7666666666666666,0.6444444444444445,0.7999999999999999,0.18778701298701297,0.15580472087825037
254,1,3,False,0.5333333333333333,0.6,0.5333333333333333,0.6222222222222222,0.4660317460317461,0.3961328996097102
255,1,2,False,0.6222222222222222,0.5999999999999999,0.6666666666666666,0.6444444444444444,0.5988428571428571,0.6608085947040989
256,1,3,False,0.6333333333333333,0.7666666666666666,0.7111111111111111,0.7999999999999999,0.6199238095238095,0.570080254323952
257,1,3,True,0.6888888888888889,0.9222222222222222,0.7111111111111111,0.9333333333333332,0.458301875901876,0.37342109054666955
258,1,2,True,0.6444444444444444,0.7999999999999998,0.7111111111111111,0.8444444444444444,0.5631880341880343,0.3539055080721746
259,1,1,True,0.6111111111111112,0.5111111111111111,0.6444444444444444,0.6222222222222221,0.23260909090909093,0.18923505990960302
261,1,2,False,0.5666666666666667,0.8555555555555555,0.6222222222222222,0.8666666666666667,0.5523636363636365,0.5507582618787175
262,1,1,True,0.6,0.7555555555555555,0.6444444444444444,0.7555555555555555,0.4724000000000001,0.2390688259109311
263,1,3,False,0.6333333333333333,0.8555555555555554,0.6222222222222222,0.8444444444444444,0.5683965811965812,0.56912955465587
264,1,3,False,0.6444444444444444,0.6555555555555554,0.688888888888889,0.688888888888889,0.48542857142857143,0.4126734233124165
265,1,2,False,0.6111111111111112,0.7111111111111111,0.6444444444444445,0.6888888888888888,0.6112229437229437,0.5082466985876077
266,1,1,True,0.47777777777777775,0.5555555555555556,0.48888888888888893,0.6444444444444445,0.034181818181818174,0.018028385116992708
267,1,3,False,0.6555555555555554,0.9666666666666666,0.6,0.9555555555555554,0.43668484848484856,0.35332837409967216
268,1,2,False,0.6222222222222222,0.7999999999999999,0.6444444444444444,0.8222222222222223,0.5822753246753248,0.4978079306142547
269,1,3,False,0.7999999999999998,0.8999999999999999,0.7999999999999999,0.9111111111111111,0.340188888888889,0.36080689164106483
270,1,3,False,0.7666666666666666,0.9,0.7777777777777778,0.9333333333333332,0.520620634920635,0.4018372011251759
271,1,0,True,0.4555555555555555,0.5777777777777777,0.5111111111111111,0.6,0.3810000000000001,0.3790877796901893
272,1,1,True,0.7666666666666666,0.6555555555555554,0.7999999999999999,0.7333333333333333,0.7291818181818183,0.7321102592186932
274,1,1,False,0.7,0.7666666666666666,0.6888888888888888,0.7555555555555555,0.13633333333333333,0.13353413654618476
275,1,2,True,0.5555555555555555,0.7,0.6666666666666666,0.7777777777777777,0.4974545454545455,0.3745962557621755
276,1,2,False,0.711111111111111,0.7222222222222221,0.7333333333333333,0.7999999999999999,0.5918279498279498,0.5343875149377995
277,1,3,True,0.7999999999999999,0.7222222222222221,0.8222222222222223,0.7777777777777777,0.5188666666666667,0.5165414628464944
278,1,2,True,0.7,0.7333333333333334,0.7555555555555555,0.7999999999999999,0.5428857142857143,0.5410499139414805
279,1,0,True,0.47777777777777775,0.611111111111111,0.48888888888888893,0.6222222222222222,0.4306666666666668,0.4283801874163323
280,1,3,True,0.711111111111111,0.8111111111111111,0.7333333333333334,0.8444444444444444,0.3437010101010102,0.2756205657067727
281,1,1,True,0.5555555555555556,0.7888888888888888,0.5777777777777778,0.8222222222222223,0.478339393939394,0.4885932740099406
282,1,2,False,0.7888888888888888,0.7555555555555555,0.7999999999999999,0.7777777777777778,0.5697242424242425,0.5918683358225694
283,1,3,False,0.7555555555555555,0.9555555555555555,0.7555555555555555,0.9555555555555554,0.4295151515151515,0.33914555389965206
284,1,3,False,0.7333333333333334,0.8111111111111111,0.7333333333333334,0.8666666666666666,0.5196363636363638,0.2872909487941816
285,1,3,False,0.6444444444444444,0.9111111111111111,0.688888888888889,0.9333333333333332,0.34657142857142853,0.3998356581689915
286,1,3,True,0.7666666666666666,0.7888888888888888,0.7999999999999999,0.8222222222222221,0.5295333333333334,0.4936984555405605
287,1,3,False,0.7222222222222221,0.9333333333333331,0.7555555555555555,0.9333333333333332,0.3883333333333333,0.29927248677248686
288,1,0,True,0.5666666666666667,0.6666666666666667,0.5777777777777778,0.6444444444444445,0.6062285714285714,0.6046471600688464
289,1,3,False,0.7555555555555555,0.8999999999999999,0.7555555555555555,0.9111111111111111,0.4784848484848485,0.4169062883906634
290,1,2,False,0.5666666666666667,0.7333333333333333,0.5777777777777778,0.7777777777777778,0.5344793650793651,0.46914113999606233
291,1,3,True,0.6444444444444444,0.7999999999999998,0.6444444444444444,0.8444444444444444,0.49607142857142866,0.4564488375281248
292,1,1,False,0.6,0.7333333333333333,0.5555555555555555,0.688888888888889,0.39909004329004333,0.32198997362790477
293,1,2,False,0.711111111111111,0.6777777777777778,0.7333333333333333,0.7777777777777777,0.3587539682539682,0.46994762619762676
294,1,3,True,0.8111111111111111,0.7222222222222221,0.8444444444444444,0.7999999999999999,0.23545454545454544,0.37468055013655915
295,1,2,False,0.6444444444444444,0.5444444444444445,0.6666666666666666,0.6222222222222222,0.3422523809523809,0.20307718341612327
296,1,3,False,0.5222222222222221,0.8777777777777778,0.6222222222222222,0.888888888888889,0.5493597513597515,0.5204154416137887
297,1,2,False,0.7444444444444445,0.7555555555555555,0.7555555555555555,0.7777777777777777,0.4481444444444445,0.3420246913580248
298,1,2,False,0.7,0.8222222222222222,0.7111111111111111,0.7999999999999999,0.5208968253968255,0.47072518947518943
299,1,1,False,0.7,0.5333333333333333,0.6888888888888888,0.5111111111111111,0.5125809523809525,0.5197502519526331
300,1,3,True,0.6,0.6888888888888889,0.6444444444444444,0.7777777777777777,0.57529898989899,0.5768303283052858
301,1,1,True,0.7444444444444445,0.7666666666666666,0.7555555555555555,0.8000000000000002,0.05999999999999999,0.060240963855421645
302,1,3,False,0.5333333333333333,0.8555555555555555,0.5333333333333333,0.8444444444444444,0.39991341991341994,0.35301172405915504
303,1,1,True,0.5333333333333333,0.5888888888888888,0.5555555555555555,0.6666666666666666,0.15022222222222217,0.0785681078568109
304,1,3,False,0.7555555555555555,0.9444444444444444,0.7555555555555555,0.9333333333333332,0.5285454545454548,0.45676682074987157
305,1,1,False,0.5777777777777777,0.8555555555555554,0.5777777777777778,0.8222222222222221,0.5075050505050506,0.4723997871647153
306,1,2,False,0.7,0.611111111111111,0.7333333333333333,0.7333333333333333,0.630511111111111,0.6296636325591128
307,1,3,False,0.5555555555555556,0.8444444444444443,0.6222222222222222,0.8888888888888888,0.5476456876456877,0.5515405362885468
308,1,2,True,0.7888888888888888,0.8333333333333333,0.8222222222222223,0.8666666666666666,0.5823246753246755,0.3843493241452425
309,1,1,True,0.6333333333333333,0.5,0.6666666666666666,0.4666666666666666,0.3902277167277167,0.2015639032684493
310,1,2,False,0.5888888888888888,0.6666666666666666,0.5777777777777778,0.7333333333333334,0.4815878787878788,0.37126681145158186
311,1,3,True,0.6333333333333333,0.8222222222222222,0.6888888888888888,0.8444444444444444,0.43190014430014434,0.4257638886523623
312,1,1,False,0.6888888888888889,0.7888888888888889,0.6666666666666666,0.7777777777777777,0.4145467532467533,0.4162115996453348
313,1,3,False,0.8111111111111111,0.8444444444444444,0.8000000000000002,0.8666666666666666,0.3804888888888889,0.4246490355111045
314,1,3,True,0.6666666666666666,0.8777777777777778,0.7111111111111111,0.9111111111111111,0.3116666666666667,0.18058712121212117
315,1,3,True,0.7888888888888888,0.7222222222222221,0.8222222222222221,0.7555555555555555,0.3512222222222222,0.3835654996712689
316,1,3,False,0.6666666666666666,0.8222222222222222,0.6888888888888888,0.8666666666666666,0.35281746031746036,0.40482089121857345
317,1,3,True,0.7666666666666666,0.7888888888888888,0.7777777777777777,0.8222222222222223,0.4204111111111112,0.39316285301999615
318,1,1,True,0.5777777777777777,0.6,0.6,0.6444444444444444,0.06499999999999997,0.03276209677419356
319,1,2,True,0.611111111111111,0.7,0.6,0.7555555555555555,0.2435515151515151,0.19748055962681987
320,1,3,False,0.5666666666666667,0.9111111111111111,0.6000000000000001,0.9333333333333332,0.381288888888889,0.35342909194329075
