"impactS","impact2S","ReversibleS","EasyLoseS","mcheckS","ReversibleB","ImpactB","ImpactfulB","EasyLose","mcchekB","sex","attcheck","country","race","educat","age_1","eduyrs_1","job","feedback","software_DO_EarlyNegativeS","Basketball_DO_EarlyNegativeB","software_DO_FinalPositiveS","Basketball_DO_FinalPositiveB","software_DO_EarlyPositiveS","Basketball_DO_EarlyPositiveB","software_DO_FinalNegativeS","Basketball_DO_FinalNegativeB","filter_$","Timing","Outcome change","IMPACT_B","IMPACT_S","REVERSIBILITY_B","REVERSIBILITY_S"
3,5,4,4,,6,4,4,7,,1,2,1,1,3,37.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,4.0,6.5,4.0
5,4,4,6,,4,3,4,6,,1,2,1,1,4,36.0,14.0,2,"The study worked fine.",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,4.5,5.0,5.0
3,4,6,2,,4,6,6,2,,1,2,1,2,2,36.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,3.5,3.0,4.0
3,3,3,4,,6,5,5,7,,1,2,1,1,4,33.0,12.0,1,"NONE",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.0,3.0,6.5,3.5
5,6,4,5,,4,5,6,4,,1,2,1,3,2,37.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,5.5,4.0,4.5
4,5,2,4,,4,5,5,3,,1,2,1,1,4,27.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,4.5,3.5,3.0
5,5,4,2,,5,2,2,6,,2,2,1,1,2,48.0,16.0,6,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,5.0,5.5,3.0
7,7,1,3,,2,7,7,2,,1,2,1,4,3,34.0,15.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",7.0,7.0,2.0,2.0
5,4,5,5,,7,3,3,7,,2,2,1,1,1,42.0,20.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,4.5,7.0,5.0
6,6,7,6,,7,7,7,7,,2,2,1,1,4,70.0,14.0,5,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",7.0,6.0,7.0,6.5
4,4,5,5,,5,2,2,5,,2,2,1,1,2,54.0,16.0,2,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,4.0,5.0,5.0
7,7,7,7,,1,7,1,1,,1,2,1,1,3,32.0,5.0,1,"do not.",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,7.0,1.0,7.0
4,5,5,5,,3,4,5,3,,2,2,1,3,3,32.0,15.0,1,"very good",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",4.5,4.5,3.0,5.0
4,5,4,4,,3,3,4,3,,1,2,1,1,6,26.0,13.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,4.5,3.0,4.0
5,5,4,3,,7,1,1,7,,2,2,1,1,2,40.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.0,5.0,7.0,3.5
6,5,6,4,,4,4,4,4,,2,2,1,1,3,40.0,14.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.5,4.0,5.0
6,6,6,6,,7,3,2,6,,2,2,1,2,3,39.0,12.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.5,6.0,6.5,6.0
2,2,4,4,,4,3,3,4,,1,2,1,4,3,44.0,14.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,2.0,4.0,4.0
5,5,4,4,,4,2,3,5,,2,2,1,1,5,45.0,12.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.5,5.0,4.5,4.0
4,4,5,5,,4,3,3,4,,1,2,1,1,2,35.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,4.0,4.0,5.0
5,5,6,6,,4,5,4,5,,1,2,1,1,2,35.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.5,5.0,4.5,6.0
5,6,6,5,,6,6,5,5,,2,2,1,2,2,29.0,14.0,1,"very good",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",5.5,5.5,5.5,5.5
5,5,4,2,,4,6,6,2,,2,2,1,1,1,36.0,18.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",6.0,5.0,3.0,3.0
2,2,6,6,,6,2,2,6,,1,2,1,1,1,36.0,18.0,1,"no comments",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,2.0,6.0,6.0
5,7,6,6,,5,5,2,6,,1,2,1,1,2,31.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,6.0,5.5,6.0
5,5,3,5,,4,4,4,4,,1,2,1,1,2,52.0,16.0,2,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",4.0,5.0,4.0,4.0
4,4,6,4,,5,5,6,6,,1,2,1,1,1,32.0,18.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.5,4.0,5.5,5.0
3,3,5,4,,4,3,3,4,,2,2,1,1,2,38.0,16.0,6,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,3.0,4.0,4.5
4,4,5,4,,3,3,4,4,,1,2,1,1,2,22.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,4.0,3.5,4.5
5,5,4,5,,7,3,3,7,,1,2,1,2,2,27.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",3.0,5.0,7.0,4.5
6,5,4,4,,5,3,3,6,,1,2,1,1,1,29.0,20.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,5.5,5.5,4.0
2,3,4,6,,7,1,2,6,,1,2,1,1,3,49.0,15.0,1,"none",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.5,2.5,6.5,5.0
4,4,5,6,,7,3,2,6,,2,2,1,1,2,24.0,16.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.5,4.0,6.5,5.5
7,7,4,4,,4,2,1,4,,2,2,1,1,4,37.0,13.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",1.5,7.0,4.0,4.0
4,4,3,3,,6,4,3,2,,1,2,1,1,2,47.0,16.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.5,4.0,4.0,3.0
7,7,7,1,,7,6,7,5,,1,2,1,1,6,69.0,16.0,2,"Very Engaging",1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",6.5,7.0,6.0,4.0
3,3,3,3,,3,3,3,3,,1,2,1,1,4,54.0,12.0,5,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",3.0,3.0,3.0,3.0
6,6,4,5,,4,2,2,6,,1,2,1,1,1,31.0,18.0,1,,1.0,1.0,0.0,,0.0,,0.0,,1,"early","no change",2.0,6.0,5.0,4.5
4,4,5,5,,6,2,2,6,,2,2,1,1,3,47.0,14.0,1,,0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",2.0,4.0,6.0,5.0
5,4,5,5,,5,4,6,4,,1,2,1,1,2,30.0,16.0,1,"Some of the questions seemed grammatically incorrect, The question about the basketball game stated that his basket put his team up down one point, up and down contradicted each other.  Thanks",0.0,,0.0,,0.0,,1.0,1.0,1,"late","no change",5.0,4.5,4.5,5.0
