subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Volume,Correct Sequence,Response Sequence,Accuracy
101,17,8,random,6,6,1.5,19.8491322,0.05,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Circle', 'Pentagon']",1
101,18,18,random,7,7,1.5,20.3907905,0.05,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Diamond']",1
101,1,7,sound,6,6,1.5,18.4105094,0.05,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Diamond', 'Pentagon']",1
101,2,12,sound,6,4,1.5,17.8163236,0.05,"['Circle', 'Pentagon', 'Diamond', 'Circle', 'Diamond', 'Pentagon']","['Circle', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond', 'Circle']",0.666666667
101,3,4,sound,5,5,1.5,17.358138,0.05,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']",1
101,4,9,sound,6,6,1.5,17.1239528,0.05,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Pentagon', 'Pentagon']",1
101,5,13,sound,7,7,1.5,19.9373418,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Diamond', 'Diamond']",1
101,6,8,sound,6,6,1.5,17.831344,0.05,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Diamond', 'Circle']",1
101,7,16,sound,7,4,1.5,19.9651184,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Circle', 'Pentagon']",0.571428571
101,8,5,sound,5,5,1.5,16.1466296,0.05,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond']",1
101,9,2,sound,5,5,1.5,15.4893748,0.05,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Diamond']",1
101,10,18,sound,7,7,1.5,25.2146895,0.05,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Diamond']",1
101,11,6,sound,5,5,1.5,16.4828255,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond']",1
101,12,15,sound,7,5,1.5,21.1775429,0.05,"['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Circle', 'Circle', 'Diamond']","['Circle', 'Pentagon', 'Diamond', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']",0.714285714
101,13,17,sound,7,7,1.5,19.1584964,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Diamond']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Diamond']",1
101,14,11,sound,6,6,1.5,17.4125846,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Pentagon', 'Pentagon']",1
101,15,1,sound,5,5,1.5,18.5945013,0.05,"['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']","['Circle', 'Diamond', 'Pentagon', 'Circle', 'Pentagon']",1
