ID,Block,Trial,BlockType,Condition_Director,CorrectAnswer,IncorrectAnswer,Position,ACC,Stimulus.RT,TrialType,Testlist,Item
6,9,2,2,2,D,?,2,1,3282,0,9,73
6,9,3,2,2,K,N,2,0,3090,2,9,74
6,9,4,2,2,M,?,2,1,4010,0,9,75
6,10,2,1,2,K,?,2,1,2691,0,10,76
6,10,3,1,2,E,?,2,1,4459,1,10,77
6,10,4,1,2,C,?,2,1,4075,0,10,78
6,11,2,2,2,L,O,1,1,5075,2,11,79
6,11,3,2,2,G,?,1,0,0,0,11,80
6,11,4,2,2,F,?,1,1,3723,0,11,81
6,12,2,1,2,P,?,2,1,2555,0,12,82
6,12,3,1,2,I,?,2,1,3651,1,12,83
6,12,4,1,2,D,?,2,1,3243,0,12,84
6,13,2,2,2,M,L,1,0,2643,2,13,85
6,13,3,2,2,N,?,1,1,3723,0,13,86
6,13,4,2,2,C,?,1,1,3987,0,13,87
6,14,2,1,2,N,?,3,1,3795,0,14,88
6,14,3,1,2,E,?,3,1,3099,0,14,89
6,14,4,1,2,B,?,3,1,3539,1,14,90
6,15,2,1,2,D,?,3,1,2643,0,15,91
6,15,3,1,2,A,?,3,1,2459,0,15,92
6,15,4,1,2,F,?,3,1,3155,1,15,93
6,16,2,2,2,L,N,1,0,5123,2,16,94
6,16,3,2,2,K,?,1,1,2235,0,16,95
6,16,4,2,2,C,?,1,1,2459,0,16,96
7,2,2,2,1,D,?,2,1,1813,0,1,1
7,2,3,2,1,M,P,2,0,2989,2,1,2
7,2,4,2,1,J,?,2,1,2181,0,1,3
7,3,2,1,1,D,?,1,1,3053,1,2,4
7,3,3,1,1,J,?,1,1,2189,0,2,5
7,3,4,1,1,O,?,1,1,2229,0,2,6
7,4,2,1,1,E,?,1,0,3557,1,3,7
7,4,3,1,1,M,?,1,0,3457,0,3,8
7,4,4,1,1,P,?,1,1,2393,0,3,9
7,5,2,2,1,C,?,3,0,0,0,4,10
7,5,3,2,1,H,?,3,0,393,0,4,11
7,5,4,2,1,K,N,3,0,2585,2,4,12
7,6,2,1,1,H,?,2,1,2145,0,5,13
7,6,3,1,1,K,?,2,0,0,1,5,14
7,6,4,1,1,P,?,2,0,217,0,5,15
7,7,2,2,1,N,?,3,1,5145,0,6,16
7,7,3,2,1,P,?,3,0,4057,0,6,17
7,7,4,2,1,F,B,3,0,2714,2,6,18
7,8,2,1,1,M,?,3,1,2514,0,7,19
7,8,3,1,1,A,?,3,1,2153,0,7,20
7,8,4,1,1,J,?,3,1,2274,1,7,21
7,9,2,2,1,M,?,2,1,2049,0,8,22
7,9,3,2,1,I,O,2,1,2457,2,8,23
7,9,4,2,1,G,?,2,1,2465,0,8,24
7,10,2,2,1,C,?,3,1,2089,0,9,25
7,10,3,2,1,P,?,3,1,2137,0,9,26
