,Gender,Age,Race,Ideo,PartyID,Religiousity,SES,Residency_1,Residency_2,Income,PS,feeling,voting,eval
226,2,16,3,4,4,7,3,1,24,10,3,75,75,75
227,2,20,4,4,3,2,4,1,24,10,1,34,60,47
228,1,20,2,4,1,8,2,1,24,2,4,23,34,285
229,,,,,,,,,,,,,,
230,2,18,4,1,1,2,1,1,24,1,2,0,0,0
231,2,20,1,6,5,8,3,1,24,6,3,52,52,52
232,,,,,,,,,,,,,,
233,2,20,3,4,4,1,3,1,24,7,2,51,50,505
234,2,19,4,1,2,3,3,1,24,7,1,100,100,100
235,1,21,4,4,4,1,3,1,24,5,4,0,0,0
236,2,22,4,,,,,,,,,,,
237,2,19,4,2,3,3,4,1,24,10,4,20,20,20
238,,,,,,,,,,,,,,
239,2,19,"4,5",2,2,8,5,1,24,10,1,82,81,815
240,,,,,,,,,,,,,,
241,1,20,2,4,2,2,3,1,24,4,2,,,
242,2,21,2,4,2,6,3,1,24,8,3,,,
243,2,18,4,2,2,2,4,1,24,7,3,77,38,575
244,2,23,1,2,2,4,3,1,24,5,2,14,4,9
245,2,20,4,5,4,2,4,1,24,10,4,72,72,72
246,2,20,4,3,3,1,4,1,24,10,1,70,50,60
247,2,18,4,5,5,8,4,1,24,10,3,39,29,34
248,2,19,2,4,2,9,3,,,,,,,
249,2,19,4,5,5,5,4,1,24,9,2,60,65,625
250,2,20,1,1,1,5,3,1,51,5,4,16,0,8
251,2,20,4,4,4,5,3,1,24,10,,,,
252,2,20,3,4,4,1,3,1,24,2,1,70,70,70
253,2,18,3,2,4,7,4,1,24,8,1,80,80,80
254,2,19,3,1,4,6,4,1,24,7,3,59,51,55
255,2,20,4,2,4,4,3,1,24,3,2,20,0,10
256,2,20,3,2,3,2,4,1,24,6,3,89,66,775
257,2,18,4,2,2,6,2,1,24,4,4,0,0,0
258,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,
260,2,19,4,2,1,2,4,1,24,9,3,29,7,18
261,1,18,4,2,1,1,4,1,24,10,1,91,100,955
262,2,20,1,2,2,2,2,1,24,4,4,35,10,225
263,2,27,4,3,3,7,3,1,24,2,2,71,61,66
264,2,20,2,1,2,1,3,1,24,6,1,97,97,97
265,2,53,4,6,5,5,3,1,24,9,2,61,50,555
266,2,18,4,6,6,7,4,1,24,10,4,80,94,87
267,1,22,4,2,3,4,4,1,24,10,3,91,91,91
268,2,20,4,2,1,2,4,1,24,8,3,85,85,85
269,2,21,4,4,4,5,3,1,24,10,4,50,60,55
270,2,18,4,3,3,2,2,1,24,3,1,74,60,67
271,2,18,4,4,5,6,3,1,24,2,4,40,50,45
272,2,19,4,2,2,2,3,1,24,8,2,29,19,24
273,1,20,3,4,4,2,1,1,24,1,,,,
274,2,21,3,4,2,5,2,1,24,1,1,81,86,835
275,2,20,3,3,3,8,3,1,24,5,2,65,76,705
276,2,18,4,1,1,1,3,1,24,8,3,91,92,915
277,2,21,4,2,2,6,3,1,24,8,1,85,93,89
278,1,21,"1,4,5",1,2,1,4,1,24,8,2,1,0,5
279,2,21,2,3,2,8,3,1,24,2,3,100,100,100
280,2,21,4,2,2,3,4,1,24,10,4,0,0,0
281,2,20,4,2,2,7,3,1,24,10,4,20,1,105
282,2,29,4,4,4,5,3,1,24,2,2,50,50,50
283,1,19,4,4,3,3,4,1,24,9,3,85,70,775
284,2,20,4,2,2,3,4,1,24,10,1,100,100,100
285,1,21,4,2,1,2,4,1,24,9,4,20,1,105
286,2,21,4,5,5,7,4,1,24,8,2,48,45,465
287,,,,,,,,,,,,,,
