condition	stimulus	Min	Max	Crossover	Slope	exitflag	R	LS	AR	N	status
Text	cat	2.61461517037098e-06	0.913995720788362	518.310958917268	0.00256370065501987	2010	0.999081548490731	0.000286869756146924	0.932129572452727	326	1
Text	cave	0.0357204340731927	0.876600889306461	659.872711409566	0.00239354044380328	2010	0.997071070658619	0.000759955199004253	0.971495895522816	326	1
Text	cork	2.40832144987602e-06	0.865620716453261	579.052230659276	0.00185296434530579	2010	0.998948245803566	0.000251349223410739	0.928066164088804	326	1
Text	corn	2.49240048044719e-08	0.906249961037935	578.458407375855	0.002100781804393	2010	0.998572331658531	0.000416838165576743	0.956481101470598	326	1
Text	crowd	0.0104167086641857	0.864583256323124	601.248670760668	0.00130192548001504	2010	0.990555294972301	0.00205284854240093	0.988113771174362	326	1
Text	crown	1.12960011344754e-08	0.927083228338808	613.46881132425	0.00173033547531962	2010	0.998246680476184	0.000510348039279125	0.955481934327504	326	1
Text	goal	0.0232078160337624	0.874999461168326	680.965481423444	0.00190462837389036	2010	0.99635821658161	0.00090191715212529	0.97509687516424	326	1
Text	goat	0.00671375950387187	0.909895200233575	506.528521161627	0.00254127361252538	2010	0.999228728077424	0.000214204432141065	0.915069256463247	326	1
Text	hole	0.0384287682826315	0.799999948298516	881.117517201202	0.00119481581303081	2010	0.988934128457933	0.00159076010722126	0.983539087708012	326	1
Text	horn	1.03041740695531e-08	0.934176209043923	637.712280879215	0.00147299119038571	2010	0.99768079872001	0.00062465946371429	0.971861081821526	326	1
Text	horse	0.0294338273137799	0.927078193654623	588.598709307787	0.00238267872760428	2010	0.998095927471624	0.000546606538655324	0.973268564342957	326	1
Text	hose	9.42582280005766e-08	0.864582991575867	621.450033618228	0.00173582702025174	2010	0.998993745052591	0.000235793642281671	0.92080225383462	326	1
Text	judge	2.05006448039668e-07	0.895832902006558	593.471718755383	0.00123788185865066	2010	0.985894928889284	0.00305856452176029	0.991870462500978	326	1
Text	jug	2.49811406005662e-08	0.906249921801494	637.082950585565	0.00174778283073091	2010	0.998177641111742	0.00048895894209854	0.950723140385326	326	1
Text	moon	0.0328046743171321	0.916666615707126	720.030378327484	0.00197041127186628	2010	0.992187854410951	0.00202083219268285	0.98762770911177	326	1
Text	moose	5.61050425007537e-08	0.925870967034096	606.660623589828	0.00220687297245549	2010	0.996355988921576	0.00106768036826554	0.982962565053344	326	1
Text	peace	0.0257036554933184	0.885416656294234	714.057006157658	0.00173552888671174	2010	0.996031947873272	0.000940649739622705	0.983466865127181	326	1
Text	peach	0.0161409619096582	0.88541524306325	617.546709555489	0.00185701371722797	2010	0.996802512596369	0.000834991279229068	0.974546082353979	326	1
Text	peak	0.0292039346716352	0.864583007995368	816.365684821044	0.00129640781149909	2010	0.990562633786601	0.00168599319495096	0.987650583686954	326	1
Text	peas	2.61455572192482e-07	0.906249933604793	578.86645264522	0.00186853016348223	2010	0.998680593632197	0.000339732185817449	0.944228335302149	326	1
Text	pig	0.00038413070124671	0.936018466013648	595.996072461972	0.00249665875739444	2010	0.998614475299106	0.000429509011579282	0.961921101329238	326	1
Text	pit	2.31586968491015e-08	0.811778443597972	568.948734407056	0.00166412486934804	2010	0.996906444045636	0.000650246222078961	0.963132590542628	326	1
Text	plane	0.0231984136033301	0.895833283201067	694.101956158481	0.00238624498752567	2010	0.998089667898279	0.000536663236908627	0.965270146131641	326	1
Text	plate	0.00109988760253921	0.841480571305179	536.414932974476	0.00288567482661387	2010	0.99752378889545	0.000655279831399106	0.966107347407282	326	1
Text	plug	0.0125063594611543	0.874999980904948	663.930645505878	0.00162523869895686	2010	0.991337469075535	0.00201972244162563	0.988465827774876	326	1
Text	plum	0.024244538373401	0.927083287955638	648.372374132982	0.00204305181660852	2010	0.998321359187922	0.000470770734318342	0.96002044431661	326	1
Text	race	0.00892933777803839	0.916654232102919	717.331724244594	0.0017192279682438	2010	0.9981961205979	0.000443378255710054	0.96383375689888	326	1
Text	rake	0.000110332709053584	0.930717650468061	572.248601786518	0.00226314242054041	2010	0.999062525999654	0.000315682500496735	0.947075435466886	326	1
Text	robe	4.90510617123796e-08	0.906249991162301	681.335849133987	0.00132856782943403	2010	0.992669854261594	0.00171409519984512	0.986021223227719	326	1
Text	rose	2.68051291718585e-08	0.856881101856893	672.694129061618	0.00185010793031539	2010	0.999244830138655	0.000194435112485844	0.914731267463113	326	1
Text	snail	0.00276329635853312	0.890109881390327	799.181574742046	0.0012200725604111	2010	0.988255364751413	0.00230015550271078	0.988651066515337	326	1
Text	snake	1.6539320191189e-08	0.873351321869113	629.532424864882	0.00189850289846053	2010	0.9990553306208	0.000258806467767713	0.933959804029208	326	1
Text	web	1.66271514334682e-08	0.906249922875247	676.943374041908	0.00182978482546307	2010	0.998741754642369	0.00034957835107257	0.946869860071175	326	1
Text	well	7.81773465963198e-08	0.842105246232812	634.926702795971	0.00137418587334076	2010	0.995318673418092	0.000983182450669274	0.979507642206598	326	1
VisNew	bag	0.00637565110038973	0.848004366295208	637.095159944506	0.0021465496702691	2010	0.998766338217723	0.000306290564995943	0.947194061681421	326	1
VisNew	bark	1.44210342833961e-07	0.813896261468229	533.429913901985	0.00244033026676284	2010	0.999064201452339	0.000242642845527987	0.937337487264481	326	1
VisNew	barn	5.81734090966957e-05	0.85179176666057	566.762771879035	0.0025045174726472	2010	0.999215726459334	0.00020647505393812	0.934612704063586	326	1
VisNew	bat	2.52887364382559e-08	0.865533662147144	616.387121636818	0.00187264480922834	2010	0.998794791196951	0.000346885100664734	0.958161325576876	326	1
VisNew	beach	1.88178368998315e-08	0.839622621584603	643.28920327747	0.00179413883967393	2010	0.996365873072416	0.00091790113856568	0.982978421104927	326	1
VisNew	beak	0.00842303639091524	0.870369530570819	709.749751036701	0.00175712154022503	2010	0.998424568415152	0.000371852980499694	0.957940622262196	326	1
VisNew	bed	1.41181794033329e-08	0.814470427067945	593.818292069386	0.00161059931654954	2010	0.99760334933632	0.000584911621976051	0.977744985288064	326	1
VisNew	bell	3.05799173205834e-08	0.823278417189842	569.858240195347	0.00240455224262951	2010	0.997984685855132	0.000534484902455097	0.972081847842219	326	1
VisNew	braid	5.30390112385426e-08	0.846153751388336	653.684752849273	0.00196938023713134	2010	0.998521513138497	0.000362299971039488	0.963264830639837	326	1
VisNew	brain	8.0516785461171e-09	0.90452488576331	601.670929727038	0.00158586894281712	2010	0.997073779967112	0.00081312155418711	0.97762565477609	326	1
VisNew	bug	6.22210081235863e-08	0.878606791886662	543.023649325853	0.00226713922445203	2010	0.999297914384203	0.000221871180318004	0.938472294268458	326	1
VisNew	bus	3.50551984162895e-06	0.849637087294332	570.541671230999	0.00274637518289744	2010	0.999655429053085	9.36163199907455e-05	0.876962329279564	326	1
VisNew	cab	0.0286115998943323	0.875343871177517	817.984507410199	0.00173887869824549	2010	0.995953792276453	0.000830620478889474	0.982194732435458	326	1
VisNew	cake	3.49051944348311e-07	0.890751869427509	561.64720483098	0.00197918260876954	2010	0.998201759603119	0.000518511505830261	0.96422051475006	326	1
VisNew	cat	2.1247599013563e-08	0.857043321756456	521.206804721635	0.00241965161437473	2010	0.999165123475876	0.000252533496861658	0.958350542198007	326	1
VisNew	cave	0.0104665368575209	0.888869127581378	644.709624215832	0.00177676707939098	2010	0.996382027682617	0.000878663602460388	0.978297614890332	326	1
VisNew	cork	9.67756408343234e-09	0.829703752775875	616.15470933146	0.00204231606072403	2010	0.999368582415078	0.000166081461929439	0.932372083865071	326	1
