"subject","value","name"
"subject12",69.1185052423,"cond_rad_wheelBlind_2.0.csv"
"subject13",129.078935601,"cond_rad_wheelBlind_2.0.csv"
"subject14",62.0124633094,"cond_rad_wheelBlind_2.0.csv"
"subject15",95.590155263,"cond_rad_wheelBlind_2.0.csv"
"subject16",70.6112090391,"cond_rad_wheelBlind_2.0.csv"
"subject18",105.83622911,"cond_rad_wheelBlind_2.0.csv"
"subject19",35.8239300982,"cond_rad_wheelBlind_2.0.csv"
"subject2",53.2528273808,"cond_rad_wheelBlind_2.0.csv"
"subject20",81.9917858746,"cond_rad_wheelBlind_2.0.csv"
"subject21",72.8788788841,"cond_rad_wheelBlind_2.0.csv"
"subject22",131.267711619,"cond_rad_wheelBlind_2.0.csv"
"subject23",151.589173832,"cond_rad_wheelBlind_2.0.csv"
"subject24",105.019096466,"cond_rad_wheelBlind_2.0.csv"
"subject25",90.2757798578,"cond_rad_wheelBlind_2.0.csv"
"subject26",77.3987298426,"cond_rad_wheelBlind_2.0.csv"
"subject3",154.777881809,"cond_rad_wheelBlind_2.0.csv"
"subject4",98.4435465552,"cond_rad_wheelBlind_2.0.csv"
"subject5",47.4900047935,"cond_rad_wheelBlind_2.0.csv"
"subject6",46.7035099103,"cond_rad_wheelBlind_2.0.csv"
"subject7",83.3835602357,"cond_rad_wheelBlind_2.0.csv"
"subject8",111.783732825,"cond_rad_wheelBlind_2.0.csv"
"subject9",147.946992775,"cond_rad_wheelBlind_2.0.csv"
"subject1",148.678896526,"cond_rad_wheelBlind_2.5.csv"
"subject10",108.566935224,"cond_rad_wheelBlind_2.5.csv"
"subject11",79.83875613,"cond_rad_wheelBlind_2.5.csv"
"subject12",73.7989779658,"cond_rad_wheelBlind_2.5.csv"
"subject13",155.112729314,"cond_rad_wheelBlind_2.5.csv"
"subject14",100.968447818,"cond_rad_wheelBlind_2.5.csv"
"subject15",85.8733846448,"cond_rad_wheelBlind_2.5.csv"
"subject16",74.2021950121,"cond_rad_wheelBlind_2.5.csv"
"subject18",124.170680979,"cond_rad_wheelBlind_2.5.csv"
"subject19",62.6669618214,"cond_rad_wheelBlind_2.5.csv"
"subject2",93.1565125235,"cond_rad_wheelBlind_2.5.csv"
"subject20",73.9152115772,"cond_rad_wheelBlind_2.5.csv"
"subject21",41.2607678647,"cond_rad_wheelBlind_2.5.csv"
"subject22",171.966820946,"cond_rad_wheelBlind_2.5.csv"
"subject24",96.8707729928,"cond_rad_wheelBlind_2.5.csv"
"subject25",118.605524649,"cond_rad_wheelBlind_2.5.csv"
"subject26",83.7584798455,"cond_rad_wheelBlind_2.5.csv"
"subject3",133.496392177,"cond_rad_wheelBlind_2.5.csv"
"subject4",89.114404326,"cond_rad_wheelBlind_2.5.csv"
"subject5",28.4272636977,"cond_rad_wheelBlind_2.5.csv"
"subject6",42.1373660242,"cond_rad_wheelBlind_2.5.csv"
"subject7",86.5001665998,"cond_rad_wheelBlind_2.5.csv"
"subject8",124.235033615,"cond_rad_wheelBlind_2.5.csv"
"subject9",158.318859791,"cond_rad_wheelBlind_2.5.csv"
"subject1",143.202829955,"cond_rad_wheelBlind_3.0.csv"
"subject10",106.212836888,"cond_rad_wheelBlind_3.0.csv"
"subject11",37.1738858323,"cond_rad_wheelBlind_3.0.csv"
