id,win,score,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score,
7,lose,no,0.4,0.377777777777778,0.222222222222222,,0.277777777777778,0.388888888888889,0.333333333333333,,534,334,333.5,,0.68,0.852941176470588,0.666666666666667,,-45,
8,lose,no,0.411111111111111,0.222222222222222,0.366666666666667,,0.244444444444444,0.322222222222222,0.433333333333333,,943,367,384,,0.363636363636364,0.928571428571429,0.666666666666667,,-36,
9,lose,no,0.366666666666667,0.311111111111111,0.322222222222222,,0.377777777777778,0.255555555555556,0.366666666666667,,350,350,334,,0.0909090909090909,0.826086956521739,0.878787878787879,,-12,
10,lose,no,0.4,0.344444444444444,0.255555555555556,,0.288888888888889,0.4,0.311111111111111,,692.5,834,559,,0.653846153846154,0.857142857142857,0.928571428571429,,-46,
11,lose,no,0.322222222222222,0.366666666666667,0.311111111111111,,0.344444444444444,0.322222222222222,0.333333333333333,,300,317,350,,0.67741935483871,0.620689655172414,0.482758620689655,,-27,
12,lose,no,0.333333333333333,0.4,0.266666666666667,,0.333333333333333,0.333333333333333,0.333333333333333,,234,183.5,217,,0.266666666666667,1,0.931034482758621,,-30,
13,lose,no,0.3,0.455555555555556,0.244444444444444,,0.277777777777778,0.366666666666667,0.355555555555556,,192,134,225.5,,0.75,0.666666666666667,0.65625,,-41,
14,lose,no,0.377777777777778,0.355555555555556,0.266666666666667,,0.311111111111111,0.322222222222222,0.366666666666667,,434,492.5,350,,0.0714285714285714,0.535714285714286,0.757575757575758,,-30,
15,lose,no,0.333333333333333,0.333333333333333,0.333333333333333,,0.344444444444444,0.344444444444444,0.311111111111111,,584,501,467,,0,1,1,,-31,
16,lose,no,0.377777777777778,0.288888888888889,0.333333333333333,,0.3,0.344444444444444,0.355555555555556,,350,267,342,,0,0.833333333333333,0.90625,,-35,
17,lose,no,0.3,0.522222222222222,0.177777777777778,,0.333333333333333,0.255555555555556,0.411111111111111,,534,350,484,,0.931034482758621,0.782608695652174,0.486486486486487,,-16,
18,lose,no,0.277777777777778,0.4,0.322222222222222,,0.244444444444444,0.4,0.355555555555556,,350,267,334,,0.227272727272727,0.914285714285714,0.96875,,-50,
19,lose,no,0.422222222222222,0.311111111111111,0.266666666666667,,0.355555555555556,0.277777777777778,0.366666666666667,,334,317,334,,0.09375,0.64,0.78125,,-18,
20,lose,no,0.355555555555556,0.333333333333333,0.311111111111111,,0.322222222222222,0.333333333333333,0.344444444444444,,300,117,183.5,,0.137931034482759,0.966666666666667,0.9,,-31,
